William Osler Health System - Etobicoke General,0.5
Huron Perth Healthcare Alliance : Clinton Public Hospital,0.6
Southlake Regional Health Centre,0.7
Huron Perth Healthcare Alliance : Seaforth Community Hospital,0.7
South Bruce Grey Health Centre - Durham,0.7
Grey Bruce Health Services - Markdale Site,0.7
William Osler Health System - Peel Memorial Center,0.7
South Bruce Grey Health Centre - Chesley,0.8
Grey Bruce Health Services - Meaford Site,0.9
Mackenzie Health - Richmond Hill,0.9
Collingwood General And Marine Hospital,0.9
Niagara Health System - Fort Erie Douglas,0.9
Bluewater Health - Charlotte Eleanor Englehart (Petrolia),0.9
Grey Bruce Health Services - Lions Head,0.9
Quinte Healthcare Corporation - Picton,1
Grey Bruce Health Services - Wiarton Site,1
Sensenbrenner Hospital,1
West Nipissing General Hospital,1
Georgian Bay General Hospital - Midland Site,1
Perth And Smiths Falls District Hospital - Perth Site,1
Trillium Health Partners - Queensway Health Centre,1
Niagara Health System - Port Colborne Site,1.1
Unity Health Toronto - St. Joseph's,1.1
Scarborough and Rouge Hospital - Birchmount,1.1
Timmins And District General Hospital,1.1
Hanover And District Hospital,1.1
Markham Stouffville Hospital - Markham Site,1.1
Mackenzie Health - Vaughan Site,1.2
Scarborough Health Network - Scarborough General Site,1.2
South Bruce Grey Health Centre - Kincardine,1.2
Quinte Healthcare Corporation - North Hastings,1.2
St. Marys Memorial Hospital,1.2
Lakeridge Health - Oshawa Site,1.2
Markham Stouffville Hospital - Uxbridge Site,1.2
William Osler Health System - Brampton Civic,1.2
Orillia Soldiers' Memorial Hospital,1.3
Strathroy Middlesex General Hospital,1.3
Headwaters Health Care Centre - Orangeville Site,1.3
Lakeridge Health - Port Perry,1.3
Ross Memorial Hospital,1.3
Chatham-Kent Health Alliance - Wallaceburg,1.3
Dryden Regional Health Centre,1.3
Halton Healthcare Services Corp - Georgetown,1.3
Woodstock General Hospital,1.4
St. Thomas-Elgin General Hospital,1.4
Kingston Health Sciences Centre - Hotel Dieu,1.4
Grey Bruce Health Services - Southampton,1.4
Scarborough Health Network - Centenary,1.4
Joseph Brant Hospital,1.4
Stevenson Memorial Hospital,1.4
St. Joseph's Health Care London - St. Joseph's Hospital,1.4
Hamilton Health Sciences Corp - West Lincoln Memorial Hospital,1.4
University Health Network - Toronto General Hospital,1.5
University Health Network - Toronto Western Hospital,1.5
Sinai Health System - Mount Sinai Hospital,1.5
The Hospital For Sick Children,1.5
Niagara Health System - Greater Niagara,1.5
Guelph General Hospital,1.5
Alexandra Hospital,1.5
Health Sciences North - Ramsay Lake Health Centre,1.5
South Bruce Grey Health Centre - Walkerton,1.5
Quinte Healthcare Corporation - Trenton,1.5
Kingston Health Sciences Centre - Kingston General,1.5
Notre Dame Hospital,1.5
Lake Of The Woods District Hospital,1.5
North York General Hospital - General Site,1.5
Northumberland Hills Hospital,1.5
Thunder Bay Regional Health Sciences Centre,1.5
Perth And Smiths Falls District Hospital - Smiths Falls Site,1.5
Cornwall Community Hospital - Mcconnell Avenue Site,1.5
Muskoka Algonquin Healthcare - Bracebridge,1.5
Niagara Health System - Welland County,1.6
Unity Health Toronto - St. Michael's,1.6
Peterborough Regional Health Centre,1.6
Bluewater Health - Sarnia General Site,1.6
Grey Bruce Health Services - Owen Sound,1.6
Huron Perth Healthcare Alliance : Stratford General Hospital,1.6
Lakeridge Health - Bowmanville,1.6
Renfrew Victoria Hospital,1.6
Brockville General Hospital - Charles ST Site,1.6
Halton Healthcare Services Corp - Milton,1.6
Erie Shores Healthcare,1.7
Norfolk General Hospital,1.7
West Parry Sound Health Centre,1.7
Temiskaming Hospital,1.7
Muskoka Algonquin Healthcare - Huntsville District Memorial Hospital,1.7
Trillium Health Partners - Mississauga Hospital,1.7
Hamilton Health Sciences Corp - McMaster Children's Hospital,1.8
Queensway Carleton Hospital,1.9
Pembroke Regional Hospital,1.9
Campbellford Memorial Hospital,1.9
Halton Healthcare Services Corporation - Oakville-Trafalgar Memorial Hospital,1.9
Toronto East Health Network - Michael Garron Hospital,1.9
Chatham-Kent Health Alliance - Chatham,1.9
Brant Community Healthcare System - Brantford General Hospital,1.9
Lakeridge Health-Ajax Site,2
London Health Sciences Centre - Victoria Hospital,2
Hamilton Health Sciences Corp - Juravinski Hospital,2
London Health Sciences Centre - University Hospital,2
Trillium Health Partners - Credit Valley Hospital,2
Royal Victoria Regional Health Centre,2.1
Lennox And Addington County General Hospital,2.1
Tillsonburg District Memorial Hospital,2.1
Quinte Healthcare Corporation - Belleville,2.1
Humber River Hospital - Wilson Site,2.1
Niagara Health System - St Catharines General,2.2
The Ottawa Hospital - Civic Campus,2.2
Groves Memorial Community Hospital,2.2
Hopital Montfort,2.3
Hamilton Health Sciences Corp - Hamilton General Hospital,2.3
Winchester District Memorial Hospital,2.3
Windsor Regional Hospital - Ouellette Campus,2.3
Sunnybrook Health Sciences Centre,2.4
Hawkesbury And District General Hospital,2.6
St. Mary's General Hospital,2.7
Glengarry Memorial Hospital,2.7
Windsor Regional Hospital - Metropolitan Campus,2.7
Children's Hospital Of Eastern Ontario,2.8
Grand River Hospital Corp - Waterloo Site,2.9
The Ottawa Hospital - General Campus,3.2
ï»¿Ontario,1.6
